# LINUX COVERAGE PROFILE FOR pkg/packval/sandbox_linux.go — CAPTURED EVIDENCE
#
# PROVENANCE
#   Run:     https://github.com/backstop-ai/backstop-core/actions/runs/30386673582
#   Commit:  4d41397 (branch fix/issue-020-sandbox-diagnostic, pull_request event)
#   Date:    2026-07-28
#   Host:    ubuntu-latest. Captured from the go-toolchain pack's coverage producer
#            (`go test -coverprofile=cover.out ./...`, pack.yml stdout_artifact),
#            uploaded by ci.yml's "Upload the gate JSON report" step.
#
# WHY THIS FILE EXISTS (TASK-031 STEP 2)
#   The gate measured sandbox_linux.go at 41/134 (30.6%) and the question was WHY.
#   A diagnosis that lives only in a task report cannot be re-checked by whoever
#   implements the fix, so the raw evidence is committed here.
#
#   THIS IS AN EXTRACT, NOT THE WHOLE PROFILE. The runner profile is ~507KB covering
#   the entire repo; only the sandbox_linux.go blocks are reproduced below, because
#   they are the ones the diagnosis turns on. The full artifact is retrievable from
#   the run URL above while the retention window lasts.
#
# THE FINDING: FIVE FUNCTIONS SIT AT EXACTLY ZERO, AND THEY PROVABLY EXECUTED.
#   applyLandlock and applySeccomp DEMONSTRABLY RAN on this very host — the sandbox
#   installed and held, and the previous run's EINVAL diagnostic was raised from
#   inside applyLandlock. A function that provably executed and reports 0/29 is a
#   MEASUREMENT failure, not an untested-code failure.
#
#   The mechanism: these five run inside the re-exec helper, which ends in
#   unix.Exec (sandbox_linux.go). exec REPLACES THE PROCESS IMAGE, so Go never
#   flushes the helper's coverage counters. The counters are lying, not the code.
#
# THE DECISIVE ARITHMETIC
#   79 of 134 statements are structurally unmeasurable under the current producer.
#   Even 100% coverage of every remaining statement caps this file at 55/134 = 41.0%,
#   which is less than half the 90% floor. NO conventional test can make this file
#   green. That is what rules out the naive form of the "just write more tests" fork.
#
# PER-FUNCTION CLASSIFICATION (covered/total, from the profile below)
#   MaybeRunSandboxHelper          3/9     33.3%  counted
#   applyRestrictionsAndExec       0/19     0.0%  ZERO-COUNTER (exec-erased)
#   filterHelperEnv                5/6     83.3%  counted
#   applyLandlock                  0/29     0.0%  ZERO-COUNTER (exec-erased)
#   seccompAuditArch               0/4      0.0%  ZERO-COUNTER (exec-erased)
#   seccompSyscallNumbers          0/8      0.0%  ZERO-COUNTER (exec-erased)
#   applySeccomp                   0/19     0.0%  ZERO-COUNTER (exec-erased)
#   kernelRelease                  3/4     75.0%  counted
#   probeLandlockABI               4/5     80.0%  counted
#   newSandboxHelperCommand       11/14    78.6%  counted
#   platformSandboxedRun           6/7     85.7%  counted
#   platformSandboxedRunStdout     9/10    90.0%  counted
#   TOTAL                         41/134   30.6%
#
# RAW BLOCKS (file:startLine.startCol,endLine.endCol numStmt count; mode: set)
mode: set
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:93.36,95.14 2 1
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:95.14,97.3 1 1
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:99.2,100.63 2 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:100.63,102.3 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:104.2,104.58 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:104.58,106.3 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:112.2,112.79 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:117.67,127.73 3 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:127.73,129.3 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:131.2,131.52 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:131.52,133.3 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:134.2,134.51 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:134.51,136.3 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:138.2,138.23 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:138.23,139.49 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:139.49,141.4 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:144.2,145.16 2 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:145.16,147.3 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:152.2,154.63 3 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:154.63,156.3 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:157.2,157.12 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:162.53,164.36 2 1
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:164.36,165.56 1 1
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:165.56,166.12 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:168.3,168.29 1 1
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:170.2,170.13 1 1
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:175.63,183.16 3 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:183.16,187.3 1 0
github.com/backstop-ai/backstop-core/pkg/packval/sandbox_linux.go:188.2,188.15 1 0
